PartitionKey,RowKey,State,State@type,Time,Time@type,Timestamp
ChIJ0RmFOi69oRQRe9frTAf_i4Y,2020-04-25,1,Edm.Int32,2020-04-25T13:03:42.084Z,Edm.DateTime,2020-04-25T13:03:42.507Z
ChIJ1YP2uvOipBIRqsDoY3YaZ4k,2020-05-18,2,Edm.Int32,2020-05-18T11:24:46.668Z,Edm.DateTime,2020-05-18T11:24:46.687Z
ChIJ1z-6cy-9oRQR9CaphzECcts,2020-04-25,2,Edm.Int32,2020-04-25T22:38:25.856Z,Edm.DateTime,2020-04-25T22:38:25.957Z
ChIJ1z-6cy-9oRQR9CaphzECcts,2020-04-27,1,Edm.Int32,2020-04-27T02:40:02.994Z,Edm.DateTime,2020-04-27T02:40:03.129Z
ChIJ1z-6cy-9oRQR9CaphzECcts,2020-04-29,1,Edm.Int32,2020-04-29T21:10:46.445Z,Edm.DateTime,2020-04-29T21:10:46.464Z
ChIJ1z-6cy-9oRQR9CaphzECcts,2020-04-30,2,Edm.Int32,2020-04-30T10:14:02.739Z,Edm.DateTime,2020-04-30T10:14:02.769Z
ChIJ1z-6cy-9oRQR9CaphzECcts,2020-05-12,3,Edm.Int32,2020-05-12T10:28:10.445Z,Edm.DateTime,2020-05-12T10:28:10.470Z
ChIJ1z-6cy-9oRQR9CaphzECcts,2020-05-18,3,Edm.Int32,2020-05-18T11:07:11.137Z,Edm.DateTime,2020-05-18T11:07:11.156Z
ChIJ1z-6cy-9oRQR9CaphzECcts,2020-05-23,2,Edm.Int32,2020-05-23T09:19:23.617Z,Edm.DateTime,2020-05-23T09:19:23.725Z
ChIJ6-X5Rb29oRQRiVKXJfgNNlw,2020-04-24,2,Edm.Int32,2020-04-24T18:05:10.716Z,Edm.DateTime,2020-04-24T18:05:11.148Z
ChIJ9Z6XuNVw5kcRg0W4s2nlFbY,2020-04-25,1,Edm.Int32,2020-04-25T16:56:13.848Z,Edm.DateTime,2020-04-25T16:56:13.868Z
ChIJCSA3pNKioRQRMkrIELIrvhc,2020-05-08,1,Edm.Int32,2020-05-07T22:46:26.188Z,Edm.DateTime,2020-05-07T22:46:26.258Z
ChIJFWou3i-9oRQR_dtjWdpE5eg,2020-04-25,1,Edm.Int32,2020-04-25T10:50:15.982Z,Edm.DateTime,2020-04-25T10:50:16.325Z
ChIJG3Ul6BGjpBIRpuo_WsQ5If4,2020-04-27,2,Edm.Int32,2020-04-26T23:57:57.987Z,Edm.DateTime,2020-04-26T23:57:58.525Z
ChIJGVYKOj7_0YURstEqKWXG7qA,2020-04-25,2,Edm.Int32,2020-04-25T15:13:15.529Z,Edm.DateTime,2020-04-25T15:13:15.702Z
ChIJJ_cwq8W9oRQRlfq5zHNz53o,2020-04-25,1,Edm.Int32,2020-04-25T11:21:44.638Z,Edm.DateTime,2020-04-25T11:21:44.959Z
ChIJQ-dCsjG9oRQR1xjHnBZmSLw,2020-04-25,1,Edm.Int32,2020-04-25T13:02:30.563Z,Edm.DateTime,2020-04-25T13:02:30.986Z
ChIJQ_x25TK9oRQR_CzOsj52Jac,2020-04-27,2,Edm.Int32,2020-04-27T00:17:44.453Z,Edm.DateTime,2020-04-27T00:17:44.978Z
ChIJVWJBti-9oRQRJuA--wXY5T8,2020-04-27,2,Edm.Int32,2020-04-27T03:16:31.032Z,Edm.DateTime,2020-04-27T03:16:31.055Z
ChIJX52Oty29oRQRlbEC9pTdtpM,2020-04-25,2,Edm.Int32,2020-04-25T11:23:56.314Z,Edm.DateTime,2020-04-25T11:23:56.638Z
ChIJX52Oty29oRQRlbEC9pTdtpM,2020-04-27,2,Edm.Int32,2020-04-27T03:16:49.269Z,Edm.DateTime,2020-04-27T03:16:49.286Z
ChIJX62_fCr-0YURLAukQ8Zo_9g,2020-04-25,3,Edm.Int32,2020-04-25T15:14:00.087Z,Edm.DateTime,2020-04-25T15:14:00.110Z
ChIJ_ZI8ey69oRQRRTzRpo-Z1iE,2020-04-25,3,Edm.Int32,2020-04-25T15:24:20.811Z,Edm.DateTime,2020-04-25T15:24:20.830Z
ChIJa3NUxy69oRQRpkNSIvbfYeE,2020-04-27,1,Edm.Int32,2020-04-27T03:16:45.326Z,Edm.DateTime,2020-04-27T03:16:45.344Z
ChIJf9borTq9oRQRtXjVjGNyImQ,2020-04-24,1,Edm.Int32,2020-04-24T20:11:56.259Z,Edm.DateTime,2020-04-24T20:11:56.458Z
ChIJf9borTq9oRQRtXjVjGNyImQ,2020-04-25,1,Edm.Int32,2020-04-25T13:24:52.605Z,Edm.DateTime,2020-04-25T13:24:52.622Z
ChIJf9borTq9oRQRtXjVjGNyImQ,2020-05-12,1,Edm.Int32,2020-05-12T10:28:22.554Z,Edm.DateTime,2020-05-12T10:28:22.577Z
ChIJgWZLrC-9oRQRDO1sS8X4SNE,2020-04-25,2,Edm.Int32,2020-04-25T15:23:48.147Z,Edm.DateTime,2020-04-25T15:23:48.311Z
ChIJgWZLrC-9oRQRDO1sS8X4SNE,2020-04-27,1,Edm.Int32,2020-04-27T03:16:26.748Z,Edm.DateTime,2020-04-27T03:16:26.766Z
ChIJgycSAYeipBIRDWPYDJgO__k,2020-04-29,3,Edm.Int32,2020-04-29T21:11:08.034Z,Edm.DateTime,2020-04-29T21:11:08.052Z
ChIJhQ6wSuyipBIRhQOHUv3cBnA,2020-05-18,1,Edm.Int32,2020-05-18T11:24:53.901Z,Edm.DateTime,2020-05-18T11:24:53.920Z
ChIJhQnj5yS9oRQRBhvcTp6PkPo,2020-04-25,2,Edm.Int32,2020-04-25T08:53:38.604Z,Edm.DateTime,2020-04-25T08:53:38.809Z
ChIJi2HBdTC9oRQR-I8gFvMXgdI,2020-04-25,1,Edm.Int32,2020-04-25T13:01:43.156Z,Edm.DateTime,2020-04-25T13:01:43.576Z
ChIJi2HBdTC9oRQR-I8gFvMXgdI,2020-05-12,2,Edm.Int32,2020-05-12T10:28:30.664Z,Edm.DateTime,2020-05-12T10:28:30.683Z
ChIJj_wpyTG9oRQRmcPyXO0KVpw,2020-04-25,1,Edm.Int32,2020-04-25T11:20:19.511Z,Edm.DateTime,2020-04-25T11:20:19.831Z
ChIJj_wpyTG9oRQRmcPyXO0KVpw,2020-04-27,1,Edm.Int32,2020-04-27T02:42:19.936Z,Edm.DateTime,2020-04-27T02:42:19.954Z
ChIJn5MHwJqipBIR6X583ekg9_w,2020-04-29,3,Edm.Int32,2020-04-29T20:57:46.876Z,Edm.DateTime,2020-04-29T20:57:47.745Z
ChIJnWryl9UBzoUR2xQVfQ0geDA,2020-04-25,2,Edm.Int32,2020-04-25T15:15:23.515Z,Edm.DateTime,2020-04-25T15:15:23.535Z
ChIJpbtoKCW9oRQRgjIgnLB-GTA,2020-04-30,3,Edm.Int32,2020-04-30T10:14:17.224Z,Edm.DateTime,2020-04-30T10:14:17.244Z
ChIJtX1uhyW9oRQRWMxy_bjooDY,2020-04-24,1,Edm.Int32,2020-04-24T19:16:16.021Z,Edm.DateTime,2020-04-24T19:16:16.165Z
ChIJtX1uhyW9oRQRWMxy_bjooDY,2020-04-27,2,Edm.Int32,2020-04-27T02:40:38.143Z,Edm.DateTime,2020-04-27T02:40:38.164Z
ChIJuWDY9jG9oRQRYqEToxLpGmE,2020-04-27,3,Edm.Int32,2020-04-27T03:16:55.078Z,Edm.DateTime,2020-04-27T03:16:55.097Z
ChIJu_VjVSW9oRQRB69KMCZXkAo,2020-04-25,3,Edm.Int32,2020-04-25T10:50:28.872Z,Edm.DateTime,2020-04-25T10:50:29.161Z
ChIJvzNwD-MBzoURpWxYUQMESiI,2020-04-25,1,Edm.Int32,2020-04-25T15:06:08.880Z,Edm.DateTime,2020-04-25T15:06:08.995Z
ChIJxaVkKSr-0YURiNClDCgdOZ0,2020-04-25,1,Edm.Int32,2020-04-25T15:15:36.634Z,Edm.DateTime,2020-04-25T15:15:36.651Z
ChIJz8gY0C-9oRQRgO-kPTQqB_E,2020-04-25,3,Edm.Int32,2020-04-25T12:39:44.184Z,Edm.DateTime,2020-04-25T12:39:44.619Z
ChIJz8gY0C-9oRQRgO-kPTQqB_E,2020-04-27,3,Edm.Int32,2020-04-27T03:16:34.540Z,Edm.DateTime,2020-04-27T03:16:34.557Z
ChIJz8gY0C-9oRQRgO-kPTQqB_E,2020-05-12,2,Edm.Int32,2020-05-12T10:30:37.130Z,Edm.DateTime,2020-05-12T10:30:37.148Z
